class,v3_hn_ap50,v3_boots_ap50
helmet,0.408681182277655,0.8220036113261879
vest,0.7241304592653772,0.8616802356179768
no_helmet,0.08059883598296377,0.37852501441568076
boots,0.0,0.8014357892994024
