ppe_id,ppe_class,person_id,score
1,no_helmet,11,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.7748000025749207
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5393000245094299
1,no_helmet,6,0.0
1,no_helmet,11,0.0
2,no_helmet,1,0.5320000052452087
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.0
2,no_helmet,6,0.0
2,no_helmet,11,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.7660999894142151
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5343999862670898
1,no_helmet,6,0.0
1,no_helmet,11,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.8037999868392944
1,helmet,1,0.0
1,helmet,2,0.7645000219345093
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5315999984741211
2,no_helmet,6,0.0
2,no_helmet,11,0.0
3,no_helmet,1,0.5353000164031982
3,no_helmet,2,0.0
3,no_helmet,3,0.0
3,no_helmet,5,0.0
3,no_helmet,6,0.0
3,no_helmet,11,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.8048999905586243
0,helmet,12,0.0
1,helmet,1,0.0
1,helmet,2,0.7720000147819519
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
1,helmet,12,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5267000198364258
2,no_helmet,6,0.0
2,no_helmet,11,0.0
2,no_helmet,12,0.0
3,helmet,1,0.7799000144004822
3,helmet,2,0.0
3,helmet,3,0.0
3,helmet,5,0.0
3,helmet,6,0.0
3,helmet,11,0.0
3,helmet,12,0.0
4,no_helmet,1,0.0
4,no_helmet,2,0.0
4,no_helmet,3,0.5612000226974487
4,no_helmet,5,0.0
4,no_helmet,6,0.0
4,no_helmet,11,0.0
4,no_helmet,12,0.0
0,helmet,1,0.7922000288963318
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.0
0,helmet,12,0.0
1,helmet,1,0.0
1,helmet,2,0.7835000157356262
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
1,helmet,12,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.531000018119812
2,no_helmet,6,0.0
2,no_helmet,11,0.0
2,no_helmet,12,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.82669997215271
0,helmet,12,0.0
0,helmet,8,0.8062999844551086
1,helmet,1,0.7928000092506409
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
1,helmet,12,0.0
1,helmet,8,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5347999930381775
2,no_helmet,6,0.0
2,no_helmet,11,0.0
2,no_helmet,12,0.0
2,no_helmet,8,0.0
3,helmet,1,0.0
3,helmet,2,0.7803999781608582
3,helmet,3,0.0
3,helmet,5,0.0
3,helmet,6,0.0
3,helmet,11,0.0
3,helmet,12,0.0
3,helmet,8,0.0
0,no_helmet,1,0.0
0,no_helmet,2,0.0
0,no_helmet,3,0.0
0,no_helmet,5,0.5218999981880188
0,no_helmet,6,0.0
0,no_helmet,11,0.0
0,no_helmet,12,0.0
1,helmet,1,0.0
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.8327999711036682
1,helmet,12,0.0
2,helmet,1,0.0
2,helmet,2,0.7806000113487244
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,6,0.0
2,helmet,11,0.0
2,helmet,12,0.0
0,no_helmet,1,0.0
0,no_helmet,2,0.0
0,no_helmet,3,0.0
0,no_helmet,5,0.5242000222206116
0,no_helmet,6,0.0
0,no_helmet,11,0.0
0,no_helmet,12,0.0
1,helmet,1,0.0
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.7800999879837036
1,helmet,12,0.0
2,helmet,1,0.0
2,helmet,2,0.7775999903678894
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,6,0.0
2,helmet,11,0.0
2,helmet,12,0.0
3,vest,1,0.0
3,vest,2,0.8238000273704529
3,vest,3,0.0
3,vest,5,0.0
3,vest,6,0.0
3,vest,11,0.0
3,vest,12,0.0
4,no_helmet,1,0.5493000149726868
4,no_helmet,2,0.0
4,no_helmet,3,0.0
4,no_helmet,5,0.0
4,no_helmet,6,0.0
4,no_helmet,11,0.0
4,no_helmet,12,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.8104000091552734
0,helmet,12,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5317000150680542
1,no_helmet,6,0.0
1,no_helmet,11,0.0
1,no_helmet,12,0.0
2,helmet,1,0.0
2,helmet,2,0.7829999923706055
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,6,0.0
2,helmet,11,0.0
2,helmet,12,0.0
3,vest,1,0.0
3,vest,2,0.8267999887466431
3,vest,3,0.0
3,vest,5,0.0
3,vest,6,0.0
3,vest,11,0.0
3,vest,12,0.0
4,no_helmet,1,0.5424000024795532
4,no_helmet,2,0.0
4,no_helmet,3,0.0
4,no_helmet,5,0.0
4,no_helmet,6,0.0
4,no_helmet,11,0.0
4,no_helmet,12,0.0
0,no_helmet,1,0.0
0,no_helmet,2,0.0
0,no_helmet,3,0.0
0,no_helmet,5,0.5266000032424927
0,no_helmet,6,0.0
0,no_helmet,11,0.0
0,no_helmet,12,0.0
0,no_helmet,8,0.0
1,helmet,1,0.0
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.8154000043869019
1,helmet,12,0.0
1,helmet,8,0.7936000227928162
2,helmet,1,0.0
2,helmet,2,0.782800018787384
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,6,0.0
2,helmet,11,0.0
2,helmet,12,0.0
2,helmet,8,0.0
3,vest,1,0.0
3,vest,2,0.829200029373169
3,vest,3,0.0
3,vest,5,0.0
3,vest,6,0.0
3,vest,11,0.0
3,vest,12,0.0
3,vest,8,0.0
4,no_helmet,1,0.5365999937057495
4,no_helmet,2,0.0
4,no_helmet,3,0.0
4,no_helmet,5,0.0
4,no_helmet,6,0.0
4,no_helmet,11,0.0
4,no_helmet,12,0.0
4,no_helmet,8,0.0
0,no_helmet,1,0.0
0,no_helmet,2,0.0
0,no_helmet,3,0.0
0,no_helmet,5,0.5300999879837036
0,no_helmet,6,0.0
0,no_helmet,11,0.0
0,no_helmet,12,0.0
1,helmet,1,0.0
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.8065000176429749
1,helmet,12,0.0
2,helmet,1,0.0
2,helmet,2,0.781499981880188
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,6,0.0
2,helmet,11,0.0
2,helmet,12,0.0
3,vest,1,0.0
3,vest,2,0.8277999758720398
3,vest,3,0.0
3,vest,5,0.0
3,vest,6,0.0
3,vest,11,0.0
3,vest,12,0.0
4,no_helmet,1,0.5288000106811523
4,no_helmet,2,0.0
4,no_helmet,3,0.0
4,no_helmet,5,0.0
4,no_helmet,6,0.0
4,no_helmet,11,0.0
4,no_helmet,12,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.7893000245094299
0,helmet,12,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5260999798774719
1,no_helmet,6,0.0
1,no_helmet,11,0.0
1,no_helmet,12,0.0
2,vest,1,0.0
2,vest,2,0.8288000226020813
2,vest,3,0.0
2,vest,5,0.0
2,vest,6,0.0
2,vest,11,0.0
2,vest,12,0.0
3,no_helmet,1,0.5297999978065491
3,no_helmet,2,0.0
3,no_helmet,3,0.0
3,no_helmet,5,0.0
3,no_helmet,6,0.0
3,no_helmet,11,0.0
3,no_helmet,12,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.7662000060081482
0,helmet,12,0.0
1,helmet,1,0.7750999927520752
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
1,helmet,12,0.0
2,helmet,1,0.0
2,helmet,2,0.7847999930381775
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,6,0.0
2,helmet,11,0.0
2,helmet,12,0.0
3,no_helmet,1,0.0
3,no_helmet,2,0.0
3,no_helmet,3,0.0
3,no_helmet,5,0.525600016117096
3,no_helmet,6,0.0
3,no_helmet,11,0.0
3,no_helmet,12,0.0
4,vest,1,0.0
4,vest,2,0.8320000171661377
4,vest,3,0.0
4,vest,5,0.0
4,vest,6,0.0
4,vest,11,0.0
4,vest,12,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.7757999897003174
0,helmet,12,0.0
0,helmet,22,0.0
1,helmet,1,0.0
1,helmet,2,0.7861999869346619
1,helmet,3,0.0
1,helmet,5,0.0
